id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
3,5,91,96,0,1
51,16,108,113,0,1
55,11,135,111,1,0
16,1,117,100,1,0
29,21,106,91,1,0
5,2,112,95,1,0
53,13,92,105,0,1
11,69,96,110,0,1
2,51,118,114,1,0
52,9,107,110,0,1
3,20,106,117,0,1
56,29,80,86,0,1
55,9,114,107,1,0
16,20,105,97,1,0
5,56,105,104,1,0
13,52,130,91,1,0
21,69,82,87,0,1
1,51,127,132,0,1
3,11,101,100,1,0
2,51,126,119,1,0
29,11,114,96,1,0
53,52,93,100,0,1
20,21,108,119,0,1
13,5,94,97,0,1
29,53,93,96,0,1
52,69,93,88,1,0
9,2,106,114,0,1
5,11,97,100,0,1
21,55,109,101,1,0
3,51,98,102,0,1
55,69,93,106,0,1
5,9,104,100,1,0
13,1,116,82,1,0
20,2,121,120,1,0
53,29,89,99,0,1
16,56,116,107,1,0
11,2,110,115,0,1
52,20,109,113,0,1
21,13,98,121,0,1
56,29,105,104,1,0
9,16,97,109,0,1
11,13,109,107,1,0
55,2,106,125,0,1
69,1,91,98,0,1
5,52,92,93,0,1
21,20,133,117,1,0
51,3,100,93,1,0
1,16,107,105,1,0
29,5,89,87,1,0
20,53,98,101,0,1
56,3,106,92,1,0
9,52,118,124,0,1
56,69,92,98,0,1
11,53,116,107,1,0
29,55,107,104,1,0
9,1,110,124,0,1
3,52,101,96,1,0
51,16,117,115,1,0
21,2,120,124,0,1
1,3,98,108,0,1
16,29,99,88,1,0
69,9,98,89,1,0
5,55,110,86,1,0
20,13,121,112,1,0
21,53,110,105,1,0
56,51,122,112,1,0
69,51,110,85,1,0
52,2,95,96,0,1
3,9,99,91,1,0
56,55,101,93,1,0
16,69,100,102,0,1
20,11,135,100,1,0
1,53,145,118,1,0
29,16,91,96,0,1
69,5,82,81,1,0
52,11,129,105,1,0
9,56,110,95,1,0
13,3,123,110,1,0
51,2,123,125,0,1
55,21,117,118,0,1
20,52,111,100,1,0
13,53,129,107,1,0
3,56,100,110,0,1
11,20,119,107,1,0
29,69,102,93,1,0
52,21,110,93,1,0
9,13,111,127,0,1
5,1,118,94,1,0
1,9,114,110,1,0
2,3,111,92,1,0
55,11,102,100,1,0
16,53,112,92,1,0
69,56,102,106,0,1
5,29,108,103,1,0
20,51,108,120,0,1
11,51,108,105,1,0
52,55,96,92,1,0
13,29,91,98,0,1
21,5,99,92,1,0
3,1,94,99,0,1
56,16,85,102,0,1
2,53,106,97,1,0
55,5,80,91,0,1
16,1,99,89,1,0
21,51,119,120,0,1
1,20,113,116,0,1
29,13,106,92,1,0
69,16,81,92,0,1
52,51,111,115,0,1
53,9,99,101,0,1
56,2,109,97,1,0
13,56,120,105,1,0
11,55,114,111,1,0
29,2,106,101,1,0
21,9,113,119,0,1
3,69,91,94,0,1
53,16,78,75,1,0
56,20,122,97,1,0
52,5,103,101,1,0
1,3,99,86,1,0
55,9,108,106,1,0
16,51,110,111,0,1
69,29,93,90,1,0
13,20,118,109,1,0
2,53,108,102,1,0
11,56,109,105,1,0
69,13,90,88,1,0
